created_at,screen_name,tweet_text,time_zone
Sun Apr 08 16:40:31 +0000 2018,nandy_off2,"RT @lionsdenkxip: In what should come as no surprise to anyone, @klrahul11 is awarded the Man of the Match award for his historic fastest",
Sun Apr 08 16:40:33 +0000 2018,Indiafirstt,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,Pacific Time (US & Canada)
Sun Apr 08 16:40:33 +0000 2018,PaytmFreeCash,"https://t.co/GBCBe5pfvx
#KXIPvDD",
Sun Apr 08 16:40:33 +0000 2018,Vijayy84,"RT @Sahabdeen1311: #KXIPvDD
# 
       
     

       ",
Sun Apr 08 16:40:36 +0000 2018,PawanDa60957139,"RT @Rajudashtn2: #KXIPvDD
#ipl11
#

  4  34 ,
    40  10       ",
Sun Apr 08 16:40:38 +0000 2018,PANARAMb,"RT @Megharamkhoth10: #KXIPvDD
# 
@WWE
@WWECesaro
@WWENXT
@WWERollins
@WWERomanReigns
@WWESheamus
@WWEUniverse
@WWEIndia
He who acts",
Sun Apr 08 16:40:39 +0000 2018,nandy_off2,"RT @lionsdenkxip: A consolidated effort by the team as Kings win the first game at Mohali this season. 

#KXIPvDD #LivePunjabiPlayPunjabi h",
Sun Apr 08 16:40:40 +0000 2018,Akshay02931139,"RT @jyoti_tewatia1: Who will win the 3rd Match ?

Retweet : #RCB
Favorite : #KKR

#IPL2018 #KKRvRCB 

#CSKvMI #CSKisTheBest #CSKvsMI #KXIPv",
Sun Apr 08 16:40:40 +0000 2018,charpaldas,"RT @AjayDas36118496: ##KXIPvDD
#
                ",
Sun Apr 08 16:40:40 +0000 2018,lakshya707,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:40:41 +0000 2018,Ajaybhardwajab,"RT @ShreyalSingh: #ManikaBatra        
      

    
#GC",
Sun Apr 08 16:40:41 +0000 2018,MaheshK52152268,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:40:42 +0000 2018,sankarambur1,This man is incorrigible. Needs to be kicked out of the country https://t.co/QoqanqjG1q,
Sun Apr 08 16:40:42 +0000 2018,GogaJaitpura,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:40:42 +0000 2018,danishashraf6,Was due for a big 100 https://t.co/NMzXCubvr5,
Sun Apr 08 16:40:43 +0000 2018,upmangoman,@sgurumurthy @rajeev_mp @RahulGandhi @kanimozhi @TimesNow @BJP4Karnataka @BJP4India @RSSorg @nsitharaman https://t.co/Mk0mhLrRzY,Chennai
Sun Apr 08 16:40:43 +0000 2018,SMITHMOGRA,"RT @ICC:  @klrahul11 


2

6
4
4
6
4
1
4
6
6
4
4

50 from 14 balls!
#KXIPvDD #IPL",
Sun Apr 08 16:40:44 +0000 2018,raokajal87,"RT @paramjeet07kaur: I travel, I read, I write, I have other lives. But when I have a camera, I know that's my country, my island.
What are",
Sun Apr 08 16:40:47 +0000 2018,sivakumar3787,"Dhoni Calls for Cavery protest
Watch here
https://t.co/JeeAaUKr0a
#Mersal
#MersalDiwali
#TSk
#Thala
#Thalapathy62 https://t.co/Ql0YR6ftah",Pacific Time (US & Canada)
Sun Apr 08 16:40:48 +0000 2018,Devendrakewat11,"RT @MehraSandya: #KXIPvDD
#
              
      ",
Sun Apr 08 16:40:53 +0000 2018,Vijayy84,"RT @MarutiN27801889: #KXIPvDD
# 
  17   23,24             ",
Sun Apr 08 16:40:54 +0000 2018,UdhaarKiZindagi,"Sunil Narine ke Bat mai Spring hai.
#KKRvRCB #KXIPvDD",
Sun Apr 08 16:40:57 +0000 2018,amer_gardazi,Pakistani young man replied to Pakistani women those demanding extra fre... https://t.co/Yblnbt2uMV via @YouTube https://t.co/dp11j8gByP,
Sun Apr 08 16:40:58 +0000 2018,zakirhusain65,#FreeBalochistan #PashtunLongMarch2Peshawar #BaluchistanMonth #KXIPvDD #PTIRawalpindiCampaign #KKRvRCB https://t.co/70d4oDdVcd,Pacific Time (US & Canada)
Sun Apr 08 16:40:59 +0000 2018,Rahulbhuri,"RT @SirrrJadeja: RCB 176/7 Target For #KKHaar 177 
#KKHaar Ye Match Pakka Haaregi  
#KKRvRCB #KXIPvDD",
Sun Apr 08 16:40:59 +0000 2018,narendrap85,RT @HumorGyan: KXIP players won this match just to get hugs from Preity Zinta after winning. #KXIPvDD,
Sun Apr 08 16:40:59 +0000 2018,abhinandan1441,"RT @cricketdilseho: Pakistani admins need these replies!
While this reply need Retweets! 

Never ever try to troll Indians or else Porkista",Chennai
Sun Apr 08 16:41:03 +0000 2018,iRavikrishna,"RT @ICC:  @klrahul11 


2

6
4
4
6
4
1
4
6
6
4
4

50 from 14 balls!
#KXIPvDD #IPL",
Sun Apr 08 16:41:07 +0000 2018,IPL2K18LIVE,"Missed watching Rahul's Innings ? 

Watch here:  https://t.co/MphcwOINqi 

#KXIPvDD #KXIP #KXIPFanArmy #IPL #IPL2018 #IPL11",
