created_at,screen_name,tweet_text,time_zone
Sun Apr 08 16:33:45 +0000 2018,ardentfnofvj,"RT @cricbuzz: This is the best inning I have ever played - Dwayne Bravo
At 118-8 CSK were looking down and out. But one man had other ideas",Muscat
Sun Apr 08 16:33:47 +0000 2018,sushriya44,"RT @cricbuzz: Dhoni: ""The way Bravo batted, it was really good to see him take the responsibility. Don't think we batted well as a team. Bu",Asia/Calcutta
Sun Apr 08 16:33:59 +0000 2018,manikhandelwal1,"RT @HighBPNews: Breaking :: #ShahidAfridi tried to play in ipl..

Anil Chaudary thrown him out 
#MIvCSK https://t.co/jDrVYFmpKe",
Sun Apr 08 16:34:00 +0000 2018,Santhoshbaska7,RT @rpsingh: Unreal effort from @DJBravo47 tonight. The @IPL is back and how! Thoroughly enjoyed the first game. Congratulations @ChennaiIP,
Sun Apr 08 16:34:00 +0000 2018,sushriya44,RT @SirJadeja: Chennai Super Kings Beats Mumbai Indians By 1 Wicket. Salute To Dwayne Bravo. Salute To Kedar Jadhav For Coming In And Takin,Asia/Calcutta
Sun Apr 08 16:34:05 +0000 2018,sushriya44,RT @SirJadeja: Meanwhile Goenka Must Be Hiding In His Den. #MIvsCSK #MIvCSK #Dhoni #Bravo,Asia/Calcutta
Sun Apr 08 16:34:04 +0000 2018,Venkata45947674,"RT @cricbuzz: KINGS ARE BACK IN STYLE...

Kedar Jadhav blazes one through extra cover and that's it

CSK pull off a improbable thriller to",
Sun Apr 08 16:34:16 +0000 2018,sivak1687,RT @RK_sports: CSK = Chennai Super Kings = Comeback Super Kings = Champion Super Kings!!! Call them what you like! It perfectly fits them ,
Sun Apr 08 16:34:18 +0000 2018,Devendrakewat11,"RT @Satguru90169981: #MIvCSK 
# 
  4  25  30             ,",
Sun Apr 08 16:34:23 +0000 2018,MohanRa65077195,"RT @cricbuzz: Dwayne Bravo [Man of the Match] today

BOWLING: First over - 14 runs, next three overs 11 runs
BATTING: First 19 balls - 29 r",
Sun Apr 08 16:34:24 +0000 2018,Mukesh__Pant,@cricbuzz Ssc ki goli always true.. Same playing11 as told by #ssckigoli.. #KXIPvDD #MIvCSK #IPL2018 https://t.co/6rPucx5wqG,New Delhi
Sun Apr 08 16:34:29 +0000 2018,SunderD63,"RT @AdiBurge: #MIvCSK 
# 
  4  25  30             ,  ",
Sun Apr 08 16:34:36 +0000 2018,Mukesh__Pant,@KKRiders Ssc ki goli always true.. Same playing11 as told by #ssckigoli.. #KXIPvDD #MIvCSK #IPL2018 https://t.co/z8NngANnpP,New Delhi
Sun Apr 08 16:34:39 +0000 2018,Bantida72740133,"RT @yashdudhbhate: #MIvCSK 
# 
    16   23               ",
Sun Apr 08 16:34:46 +0000 2018,Mukesh__Pant,@IPL @KKRiders Ssc ki goli always true.. Same playing11 as told by #ssckigoli.. #KXIPvDD #MIvCSK #IPL2018 https://t.co/vjMxLpIStk,New Delhi
Sun Apr 08 16:34:54 +0000 2018,Devendrakewat11,"RT @Gurugov38113652: #MIvCSK 
#
                 
  ",
Sun Apr 08 16:35:00 +0000 2018,sushriya44,"RT @SirJadeja: If It Wasn't For Kedar Jadhav, Imran Tahir Would've Run 7 Runs Off The Last Delivery To Win The Match For Chennai Super King",Asia/Calcutta
Sun Apr 08 16:35:00 +0000 2018,Trequartista004,"RT @OVIYAarmy06: Happiness is seeing CSK fans 
@ChennaiIPL   #MIvCSK  #IPL2018 #IPL11 #IPL #MI #CSK #CSKvsMI #CSKisTheBest #WhistlePoduAr",Pacific Time (US & Canada)
Sun Apr 08 16:35:02 +0000 2018,Devendrakewat11,"RT @ThisIsTrue18: #MIvCSK
#
    05 code word              07:40",
Sun Apr 08 16:35:20 +0000 2018,khetaram001,"RT @yashdudhbhate: #MIvCSK 
# 
  4  25  30             , ",
Sun Apr 08 16:35:21 +0000 2018,PawanDa60957139,"RT @Devendr01178801:            
 . #SalmanGetsBail      
#MIvCSK   ",
Sun Apr 08 16:35:22 +0000 2018,Mukesh__Pant,@IPL @lionsdenkxip @ashwinravi99 Ssc ki goli always true.. Same playing11 as told by #ssckigoli.. #KXIPvDD #MIvCSK https://t.co/RYdeaUvbza,New Delhi
Sun Apr 08 16:35:41 +0000 2018,Satya_vadi,"RT @Krishandasghaso: #MIvCSK
#KXIPvDD 
#ManuBhaker 
#MangalPandey 
# 
# 
ShriKrishna Arjun in verse 62of chapter18",
Sun Apr 08 16:35:48 +0000 2018,sushriya44,"RT @CSKFansOfficial: Bravo is a Champion 
Kedar is a Champion 
CHENNAI SUPER KINGS is a Champion
#WhistlePodu #CSKisTheBest #Yellove #M",Asia/Calcutta
Sun Apr 08 16:35:53 +0000 2018,Amarpurohit13,"RT @RakeshK90190723: #KXIPvDD
#MIvCSK
# 
               

",
